date,articles
2017-01-01,"[""Tesla's new Roadster, and more in the week that was - Engadget"", 'Tesla makes Reno a critical pit stop on way to Las Vegas, CES - The Denver Post', 'Tesla and Panasonic team up on solar-panel cells - Virgin Islands Daily News', 'I experienced a Tesla, a Toyota 86 and a Formula Vee racecar all at ... - Practical Motoring']"
2017-01-02,"['Tesla Sued for Sudden Acceleration Crashes - TMZ', '19 people turn a Tesla Model S into a fad telephone booth - Autoblog', 'MelaSon to welcome another baby girl - Yahoo Finance', ""Chrysler's Kitschy, Sad Dealer-Information Video for the TC by ... - Car and Driver"", 'Top 10 Tips to passing your driving test - Express']"
2017-01-03,"['Tesla’s 2016 Deliveries = 76,230+ Vehicles, Production = 83,922 Vehicles - CleanTechnica', 'Tesla delivered over 76000 vehicles in 2016, falling slightly short of ... - The Verge', 'Tesla Narrowly Misses 80000-Vehicle Sales Goal in 2016 - The Wall Street Journal', ""Electric car startup unveils 'new species' of vehicle - Phys.org"", ""Faraday Future unveils the world's fastest electronic production car ... - TNW"", 'Irvine man sues after Tesla slams into home - OCRegister', 'Tesla Gets Shut Out In Missouri; Autopilot Features Now Back Live - TopSpeed', 'Chrysler Portal Concept Previews Possible EV Minivan – News – - Car and Driver', 'Ford says electric vehicles will overtake gas in 15 years, announces ... - Electrek', 'Preventing Your Robot Technology from Being Obsolete Tomorrow ... - Robotics Tomorrow', 'The Morning After: Tuesday, January 3rd, 2017 - Engadget', 'The 20 Electric Cars For Sale In The USA, Canada, &/Or Europe - CleanTechnica', ""The 'Michael Jordan of darts' will not be deterred, even by a trophy ... - Mashable"", ""Meet the 4 Goldman Sachs 'game changers' who made Forbes' 30 Under 30 list this year - Yahoo Finance""]"
2017-01-04,"['Tesla Flips the Switch on the Gigafactory - Bloomberg', ""Elon Musk's Tesla Falls Behind—and Gets a Faster New Competitor - Vanity Fair"", 'Faraday Future unveils electric SUV in challenge to Tesla - Financial Times', 'Faraday Future takes on Tesla at CES with FF 91, the electric car that can learn - The Guardian', 'The world needs to stop obsessing over how many cars Tesla is selling - Business Insider', 'BMW to launch self-driving car test in 2017 to take on Tesla, Google - Business Insider', 'LG makes the Stylo 3 official at CES, the latest stylus-toting mid-ranger - GSMArena.com', ""Toyota's CES Concept Car Is Something Else - Popular Mechanics"", 'Honorary 6th grader Bernie Sanders put a Trump tweet on a giant ... - Mashable', 'Winds of change as solar becomes cheapest form of energy - The Manufacturer', ""Electric car startup unveils 'new species' of vehicle - Arab News"", 'The 24 Plug-In Hybrid Electric Cars For Sale In The USA, Canada, &/Or Europe - CleanTechnica', 'Jason Sudeikis Signs With UTA - Yahoo Finance', '“CARMA” — An EV Adoption Framework For US Auto Buyers - CleanTechnica', 'Hyundai reveals hyper-connected and future mobility tech at CES - Autocar Professional', 'Samsung begins seeding Nougat to a small batch of Galaxy S7 units - GSMArena.com', 'The 1988 Trump Series Cadillac Limos Are Yuge! – News - Car and Driver', 'Jaguar I-Pace - 7 things you need to know about the fully electric sports SUV - Express', 'Meet the five eccentric physicists who changed the world of science - IBTimes India']"
2017-01-05,"[""Tesla's cheaper, more powerful battery cell is the perfect ... - Quartz"", 'Tesla Denies Responsibility In Unintended Acceleration Lawsuit - CarScoops', 'Tesla owners with Autopilot 2.0 are seeing improvements by the day - TESLARATI', 'An electric vehicle fill-up of the future to last minutes, not hours - The Mercury News', ""7 of the World's Largest Manufacturing Plants - Popular Mechanics"", ""Elon Musk and Donald Trump suddenly have an awkward alignment that 'really seemed to sneak up on people' - Yahoo Finance"", 'New Wyoming bill will allow Tesla direct sales model for all automakers - TESLARATI', 'Expert Claims Automakers ""Not Even Close"" To Fully Autonomous ... - Futurism', 'GM delivered 579 Chevy Bolt EVs in 2016 - Electrek', 'Honda self-driving, ride-sharing concept car CES - Business Insider', 'CES 2017: Faraday Future unveils FF 91 electric car - Sydney Morning Herald', 'Toyota is skeptical of self-driving tech - Business Insider', 'The OjO Commuter Scooter is a zero-emissions electric two-wheeler ... - Electrek', 'Samsung Galaxy S8 release date allegedly revealed - GSMArena.com', 'Toyota unveils its AI-powered autonomous car of the future - TESLARATI', 'Audi and Nvidia Promise Level 4 Autonomous Car by 2020 - autoevolution', 'Mitsubishi will end Lancer production in August - Motor1']"
2017-01-06,"[""Faraday Future's FF 91 Las Vegas Debut Snags 64,000 Reservations For Electric Car - Forbes"", 'Styling Size-Up: Faraday Future FF 91 vs. Lucid Air - MotorTrend', ""We Rode in the Faraday Future FF91 and It's Really Quick - Road & Track"", ""Mercedes will give Tesla's Autopilot its first real competition this year - The Verge"", 'Tesla Supercharger station opens in Fort Macleod - Global News', 'Here’s Why Canada Is Shutting Down Its Investigation Into Apple - Fortune', 'When Will Electric Cars Go Mainstream? - Knowledge at Wharton - Knowledge@Wharton', 'Every Ford GT Buyer Is Receiving this Rad Miniature Ordering Kit - Car and Driver', ""Bentley's Continental Supersports Will Be the World's Fastest Four ... - WIRED"", 'Toyota Concept-i Preview: 2017 CES - Cars.com', 'Samsung Galaxy C7 Pro live images leak - GSMArena.com', 'E-commerce Platform Shopify Adds Amazon Integration - WWD']"
2017-01-07,"['Tesla Gigafactory problems for carmaking - Business Insider', 'Self-driving car milestones coming in 2017 - Business Insider', ""Nissan confirms that the 'new LEAF' will get a range of 200 miles ... - Electrek"", '2016 U.S. Pony Car Sales: Mustang Takes Top Spot, But Market Is ... - autoevolution']"
2017-01-08,"['Self-driving cars not feasible in 5 years, automakers say - Business Insider']"
2017-01-09,"['Elon Musk Takes Customer Complaint on Twitter From Idea to ... - Inc.', 'VIDEO: Tesla’s self-driving car dodges a crash in The Netherlands - Al Arabiya English', ""Tesla has a quick feedback loop, but Elon Musk didn't implement a ... - Electrek"", 'Would Nikola Tesla drive a Tesla? - Stuff', ""Here's How Big of a Hill You Need to Fully Recharge a Tesla - Road & Track"", 'Electric Kia Stinger GT to rival Tesla Model 3 - AutoExpress', 'Next-gen Samsung EV battery gets 300+ miles of range from a 20-minute charge - TechCrunch', 'EV startup Rivian buys old Mitsubishi plant in Normal, Illinois - Autoblog', 'Take a ride with us in a self-driving Audi Q7 using Nvidia autonomous tech - TechCrunch', 'VW unveils new all-electric and autonomous retro microbus with 270 ... - Electrek', ""GM's Chevrolet Bolt electric car wins North American Car of the Year - USA TODAY"", 'Turkish Lira Extends Losses as Rate Speculation Mounts: Chart - Bloomberg', 'Mining company claims 4,000 acres in Black Rock Desert - Reno Gazette Journal', 'Did A Russian Physicist Invent Radio? - Hackaday', 'Samsung wants to sell 100 million Galaxy J phones this year and 20 ... - GSMArena.com', 'New HTC Vive smartphone leaked in video - GSMArena.com', '2017 Tesla Model 3 To Come With Supercharger V3, Elon Musk ... - MobiPicker']"
2017-01-10,"['Tesla Hires Apple Veteran Chris Lattner to Autopilot Team - Fortune', ""Tesla's new Autopilot chief is a longtime Apple veteran - The Verge"", 'The creator of Swift, Apple’s new programming language, is leaving for Tesla - CNBC', 'Tesla will rule the car world - Computerworld', 'Elon Musk Has Delivery Issues - The New Yorker', 'Longtime Apple programmer and Swift creator leaves Apple for Tesla - Ars Technica', 'You Can Now Drive From Melbourne To Brisbane For Free (In A ... - Gizmodo Australia', 'Tesla Model X owner who crashed into his living room now seeks a ... - Electrek', ""Nexteer and Continental venture to be HQ'd in Michigan - Detroit News"", 'Why Some Autonomous Cars Are Going to Avoid the Internet - MIT Technology Review', 'Audi unveils new plug-in electric Q8 SUV ahead of fully-electric quattro - Electrek', 'Infiniti QX50 Concept Stuns in Detroit - MotorTrend', '10 Powerful Examples Of Artificial Intelligence In Use Today - Forbes', 'iPhone 8 to have stainless steel frame for its glass sandwich design - GSMArena.com', 'Mercedes Is Ready to Take on the Bentley Bentayga with a ... - Road & Track']"
