,Time,Headlines,Sentiment
0,18-Jul-20,Johnson is asking Santa for a Christmas recovery,4
1,18-Jul-20,‘I now fear the worst’: four grim tales of working life upended by Covid-19,1
2,18-Jul-20,Five key areas Sunak must tackle to serve up economic recovery,5
3,18-Jul-20,Covid-19 leaves firms ‘fatally ill-prepared’ for no-deal Brexit,1
4,18-Jul-20,"The Week in Patriarchy  


  Bacardi's 'lady vodka': the latest in a long line of depressing gendered products",5
5,18-Jul-20,English councils call for smoking ban outside pubs and cafes,1
6,18-Jul-20,Can Tesla justify a $300bn valuation?,1
7,18-Jul-20,Empty city centres: 'I’m not sure it will ever be the same again',1
8,18-Jul-20,Democratising finance for all? An investment app for amateurs and a student trader's death,1
9,18-Jul-20,"Homebuyer loses £300,000 to fraudsters – but gets it back after we step in",1
10,18-Jul-20,St Mawes named UK’s top seaside resort in Which? poll,5
11,18-Jul-20,Atol protection to be extended to vouchers on Covid-19 cancellations,1
12,18-Jul-20,"Leaseholders billed up to £115,000 each to remove Grenfell-style cladding",1
13,18-Jul-20,Boohoo calls for licensing scheme to ensure textile factories fit to trade,4
14,18-Jul-20,All Asda HQ staff told to return to office at least once a week from August,1
15,18-Jul-20,"Ask and Zizzi to close 75 outlets, threatening up to 1,200 jobs",1
16,18-Jul-20,British Airways retires iconic Boeing 747 fleet – in pictures,1
17,18-Jul-20,World Bank calls on creditors to cut poorest nations' debt payments,1
18,18-Jul-20,British Airways retires Boeing 747 fleet as Covid-19 hits travel,1
19,18-Jul-20,What will changes to England's lockdown rules mean for me?,3
20,17-Jul-20,In search of a new economics for Covid-19 era,4
21,17-Jul-20,Business live  Markets hope for progress over EU recovery fund; US consumer confidence drops – as it happened,4
22,17-Jul-20,"I flew the jumbo for 10 years and never got over how big it was, says 747 pilot",5
23,17-Jul-20,BA begins to carry out its 'fire and rehire' threat to jobs,3
24,17-Jul-20,"Johnson's coronavirus workplace guidance confused, warn unions",4
25,17-Jul-20,What will be changing in Boris Johnson's 'return to normality',5
26,17-Jul-20,Lloyds to increase number of black staff in senior roles,4
27,17-Jul-20,Silicon Valley has deep pockets for African startups – if you’re not African,3
28,17-Jul-20,'What’s going to give?': millions fret as Republicans threaten to halt $600 weekly lifesaver,1
